rank,key,title,期間増加PV,1日平均PV,期間開始PV,期間終了PV,分析期間(日),集計日
40,n0def0dce1a79,試験勉強の相棒は、ZEBRAのサラサクリップ0.4ジェルボールペン,5,0.25,402,407,20,2026-09-10
41,n5a5692527fe6,２０２５年に２回目の司法書士試験を受けてみた,5,0.25,688,693,20,2026-09-10
42,nce16300e810e,柴犬のご飯を作るついでに飼い主のご飯も作る人の自己紹介,5,0.25,299,304,20,2026-09-10
43,ndc258d32737e,やらないことを決めるのって難しい【kenさんのプロンプトで遊んでみました】,5,0.25,557,562,20,2026-09-10
44,n088eeb93cb27,「一緒やないか！」と思った話,5,0.25,286,291,20,2026-09-10
45,nfc5780cc737e,きなこ菓子が好きなんだもの,5,0.25,143,148,20,2026-09-10
46,n6f0d47de8677,noteライフを便利にする、赤柴がお世話になっている４つのツールをご紹介,4,0.2,480,484,20,2026-09-10
47,n57433e1741c8,赤柴、開きなおる。【note３カ月に思うこと】,4,0.2,451,455,20,2026-09-10
48,n67161174d55c,下僕による下僕並べ【毎週ショートショートnote】,4,0.2,288,292,20,2026-09-10
49,n19ac89709a94,ありがとう｜note初投稿から１カ月。自己紹介を更新してみました。,4,0.2,393,397,20,2026-09-10
50,n21996c0f4ab9,姉のまねをすれば大丈夫だと思ってた。～あの頃の私が信じていたこと～【#66週ライラン12/66】,4,0.2,503,507,20,2026-09-10
51,n36373cb2b514,赤柴はちょっと紹介してみたいのです【note５カ月半】,4,0.2,653,657,20,2026-09-10
52,nf112bff58258,呪文にしか見えなかった問題文（司法書士試験）,3,0.15,390,393,20,2026-09-10
53,nfd63506c6529,ハーネスを買い替えた話【ヒヤリハット】,3,0.15,170,173,20,2026-09-10
54,n21c4a33b59f5,沼にもう一歩入ってみた【#noteスキ動画コンテスト】,3,0.15,504,507,20,2026-09-10
55,n4606ed645475,宴の後～わたしの思い出屋台～【#じまこちゃ夏祭り後夜祭】,3,0.15,439,442,20,2026-09-10
56,n4c6fb682cf89,✨️動く赤柴大集合✨️【＃noteスキ動画コンテスト応募記事】,2,0.1,513,515,20,2026-09-10
57,n09767c8ba6df,そこは沼の入り口だった〜赤柴のPolloAI奮闘記・前編～【＃PolloAI×しろねんコンテスト】,2,0.1,497,499,20,2026-09-10
58,nf6238270cf88,柴犬飼い主の愛用品【冬】指先あかぎれ保護バン,2,0.1,59,61,20,2026-09-10
59,nf7343a999fdd,ティッシュ字涙腺短歌～亡き愛犬に寄せて～,2,0.1,515,517,20,2026-09-10
60,n2844e6555c71,ちょっとひとやすみ【赤柴さんの子犬時代】,2,0.1,324,326,20,2026-09-10
61,nfe2600c475f5,本当にあった（小規模な）不思議な話　～宝くじ篇～　,2,0.1,495,497,20,2026-09-10
62,nef940f287b0f,柴犬のご飯を作るついでに飼い主は唐揚げと大根もちの献立,2,0.1,103,105,20,2026-09-10
63,nd2adf1fe1095,犬を洗いました【赤柴さんシャンプー事情】,2,0.1,217,219,20,2026-09-10
64,nd2c889ab732f,手書きのノート～子どものころの私が好きだったもの～【#66週ライラン11/66】,2,0.1,323,325,20,2026-09-10
65,nd7bf5d46d551,ブームは何度もやってくる、らしい。【ティッシュ字検定】,2,0.1,415,417,20,2026-09-10
66,nacfe664b5060,本当にあった地味～な話【在宅ワーク】,2,0.1,225,227,20,2026-09-10
67,n8b99f230ba59,MS365の一方的な値上げを回避するダウングレードをGeminiに教えてもらったことについて,2,0.1,199,201,20,2026-09-10
68,nd8f93f6143d5,柴犬飼い主の愛用品【オールシーズン】パクパクローラー,2,0.1,116,118,20,2026-09-10
69,n68d75478d890,神社の空気は澄んでいる,2,0.1,495,497,20,2026-09-10
70,n76c69c0e4b16,柴犬のご飯を作るついでに飼い主は鶏胸チリソースの献立,2,0.1,148,150,20,2026-09-10
71,n916389ec2a3c,【無料】りんご飴キャッチゲームやってるよ～🎶【#じまこちゃ夏祭り】イベント参加しなくても遊べます✨,2,0.1,901,903,20,2026-09-10
72,n5bd0b8e88da8,３年半の継続～今のわたしの救いになっているもの～【#66週ライラン 6/66】,2,0.1,423,425,20,2026-09-10
73,nb71bbf8573c4,柴犬のご飯を作るついでに飼い主もチキンソテーの献立,2,0.1,133,135,20,2026-09-10
74,naea6e131360d,柴犬のご飯を作るついでに飼い主もピーマン肉詰めの献立,2,0.1,57,59,20,2026-09-10
75,n14702bb0bedd,悔しいという気持ち,1,0.05,404,405,20,2026-09-10
76,n04ed549bc189,【短歌】大学生の息子に,1,0.05,117,118,20,2026-09-10
77,n37991ce63586,柴犬の飼い主愛用品【オールシーズン】手帳には日常が詰まってる,1,0.05,148,149,20,2026-09-10
78,n36f6c81f7cbc,新年短歌大喜利に参加してみました,1,0.05,90,91,20,2026-09-10
79,n3a5c1a818842,闇に響く叫び声【怖そうで怖くない話】【おまけ短歌】,1,0.05,173,174,20,2026-09-10
80,n2ca3aae5aa67,柴犬のご飯を作るついでに飼い主はハンバーグの献立,1,0.05,70,71,20,2026-09-10
81,n09135560a0d8,彼が一度も振り返らずに特急に乗り込んでから　＃わたしと東京,1,0.05,223,224,20,2026-09-10
82,n64e5d64ab23d,柴犬短歌（体重測定とお薬）,1,0.05,74,75,20,2026-09-10
83,n8cba0088617c,【短歌】10代も20代もハキハキと　他｜オリンピックと司法書士試験,1,0.05,147,148,20,2026-09-10
84,n4f1587ec4546,【俳句】春立ちて乱高下する気温計,1,0.05,110,111,20,2026-09-10
85,n85be1c5e0d3e,わたしの世界観ってなんだろう｜AIたちと対話してみた【コンテスト振り返り】,1,0.05,560,561,20,2026-09-10
86,n85a112239363,【短歌】noteよりノートに向かう今日なれば連続投稿かろうじて継ぐ,1,0.05,105,106,20,2026-09-10
87,nc807d6c17c92,【短歌】桜にまつわる歌　＃みんはい桜まつりに参加します,1,0.05,330,331,20,2026-09-10
88,nb0038ae8da62,読みたいnoteが多すぎる問題と自分の方向性に迷うことについて【note２カ月の感想】,1,0.05,290,291,20,2026-09-10
89,nc02a9be1ff36,気がつけば沼に片足突っ込んでいた～赤柴のPolloAI奮闘記・後編～【PolloAI×しろねんコンテスト】,1,0.05,507,508,20,2026-09-10
90,nee2b89bb3779,柴犬のご飯を作るついでに飼い主は高野豆腐とナスの揚げびたしとガリバタキャベツの献立,1,0.05,189,190,20,2026-09-10
91,nd95ef66f84c5,柴犬のご飯を作るついでに飼い主は豚バラ野菜巻きの献立,1,0.05,129,130,20,2026-09-10
92,ned4db96f843f,おすしで＃20字自己紹介　シロクマ文芸部に初参加してみました,1,0.05,265,266,20,2026-09-10
